run_type,subject_id,taxon_id,total_abs_flux,max_abs_flux,n_rxn_over_1k,species_name,abundance_raw,abundance_normalized,growth_rate
no_pfba,MBS1232,Escherichia_coli_UTI89_UPEC,63176.38403463969,1000,0,Escherichia coli,0.496180448268968,0.03194872751902428,0.1277814463832967
no_pfba,MBS1232,Bacteroides_dorei_DSM_17855,52032.86231083317,1000,0,Bacteroides dorei,0.133140368640123,0.00857281937308404,0.03485546574267997
no_pfba,MBS1232,Bacteroides_xylanisolvens_XB1A,50247.06401013442,1000,0,Bacteroides xylanisolvens,0.477949399160764,0.03077484244883259,0.1233871944754582
no_pfba,MBS1232,Klebsiella_pneumoniae_pneumoniae_MGH78578,47434.234684880386,1000,0,Klebsiella pneumoniae,0.520045996156583,0.03348541420068151,0.13497977290429727
no_pfba,MBS1232,Faecalibacterium_prausnitzii_M21_2,30847.1510123398,1000,0,Faecalibacterium prausnitzii,2.44595010772939,0.1574930930664438,0.6334033769069132
no_pfba,MBS1232,Parabacteroides_merdae_ATCC_43184,28319.17984882693,1000,0,Parabacteroides merdae,5.22650431743469,0.33653112067851737,1.1430281006113
no_pfba,MBS1232,Ruminococcus_torques_ATCC_27756,26425.83700266601,1000,0,Ruminococcus torques,1.34898616011036,0.08686031746446025,0.3422667489859658
no_pfba,MBS1232,Alistipes_shahii_WAL_8301,22192.32365854713,1000,0,Alistipes shahii,4.88176622484832,0.3143336652489562,0.01873742503833662
no_pfba,MBS1255,Escherichia_coli_UTI89_UPEC,66191.50553654242,1000,0,Escherichia coli,0.648357288854883,0.04448673567932088,0.09406014708405457
no_pfba,MBS1255,Faecalibacterium_prausnitzii_M21_2,47554.976321388094,1000,0,Faecalibacterium prausnitzii,0.101679183574129,0.00697667018094379,0.01642410399179977
no_pfba,MBS1255,Bacteroides_dorei_DSM_17855,47375.07308236855,1000,0,Bacteroides dorei,0.9834801825406,0.06748103812298864,0.14167013237053633
no_pfba,MBS1255,Parabacteroides_merdae_ATCC_43184,27326.674818612315,1000,0,Parabacteroides merdae,6.57457500168121,0.451111424721141,0.7062996385600321
no_pfba,MBS1255,Ruminococcus_torques_ATCC_27756,26175.734518977508,1000,0,Ruminococcus torques,1.19949173515098,0.08230257095657502,0.17115110368167438
no_pfba,MBS1255,Alistipes_shahii_WAL_8301,22532.970913133107,1000,0,Alistipes shahii,3.04005131446432,0.2085917157143527,0.02823603741623884
no_pfba,MBS1255,Alistipes_onderdonkii_DSM_19147,20525.82584615323,1000,0,Alistipes onderdonkii,2.02653620005785,0.13904984462467793,0.2902345001351162
no_pfba,MBS1262,Klebsiella_pneumoniae_pneumoniae_MGH78578,23424.787798614885,707.00320442021,0,Klebsiella pneumoniae,0.183946759590759,0.00941146089258238,0.01676545860637579
no_pfba,MBS1262,Escherichia_coli_UTI89_UPEC,13815.512605801947,1000,0,Escherichia coli,0.917009847681107,0.04691793613958956,0.06679769725350887
no_pfba,MBS1262,Faecalibacterium_prausnitzii_M21_2,6068.812982134092,194.61628478169052,0,Faecalibacterium prausnitzii,1.11560785451061,0.05707901415357038,0.08035754711254903
no_pfba,MBS1262,Bacteroides_xylanisolvens_XB1A,5647.2172884099755,208.23258986378033,0,Bacteroides xylanisolvens,2.07590047086285,0.10621147196006687,0.14332463351134422
no_pfba,MBS1262,Bacteroides_dorei_DSM_17855,3624.108335072284,150.0987073077392,0,Bacteroides dorei,0.887537106311573,0.04540999137658489,0.06177463879419087
no_pfba,MBS1262,Parabacteroides_merdae_ATCC_43184,1458.2076407066284,56.23614864606062,0,Parabacteroides merdae,14.3649720825141,0.7349701254776059,0.6129076949935435
no_pfba,MBS1529,Escherichia_coli_UTI89_UPEC,71429.34683574921,1000,0,Escherichia coli,0.20226716191155,0.01063085395629045,0.02222769170797146
no_pfba,MBS1529,Bacteroides_xylanisolvens_XB1A,51534.30257245042,1000,0,Bacteroides xylanisolvens,0.225869902021231,0.01187137802704407,0.02431347298305921
no_pfba,MBS1529,Klebsiella_pneumoniae_pneumoniae_MGH78578,49926.0056333425,1000,0,Klebsiella pneumoniae,1.51448209743325,0.07959887232842001,0.1607731367601989
no_pfba,MBS1529,Bacteroides_dorei_DSM_17855,44442.72053649674,1000,0,Bacteroides dorei,2.56837590012083,0.1349899254085566,0.2696613808066522
no_pfba,MBS1529,Faecalibacterium_prausnitzii_M21_2,32409.71598515866,1000,0,Faecalibacterium prausnitzii,1.13992305060241,0.05991261931910916,0.12380176045160927
no_pfba,MBS1529,Ruminococcus_torques_ATCC_27756,30818.365454190563,1000,0,Ruminococcus torques,0.153904883595669,0.00808900626875316,0.01604295432140838
no_pfba,MBS1529,Alistipes_onderdonkii_DSM_19147,28192.357671722457,1000,0,Alistipes onderdonkii,2.22103205061337,0.11673406171900592,0.23499975740173637
no_pfba,MBS1529,Parabacteroides_merdae_ATCC_43184,27135.310775052483,1000,0,Parabacteroides merdae,10.8381022503985,0.5696341467317046,0.8144033583309666
no_pfba,MBS1529,Alistipes_shahii_WAL_8301,22016.638701238586,1000,0,Alistipes shahii,0.162469248450601,0.00853913624111606,0.01804799386732592
pfba,MBS1232,Parabacteroides_merdae_ATCC_43184,29102464.59287036,2149559.624837025,69,Parabacteroides merdae,5.22650431743469,0.33653112067851737,0
pfba,MBS1232,Escherichia_coli_UTI89_UPEC,24089688.636003032,1326371.2844110932,66,Escherichia coli,0.496180448268968,0.03194872751902428,0
pfba,MBS1232,Klebsiella_pneumoniae_pneumoniae_MGH78578,23079137.304185987,3949247.445432582,50,Klebsiella pneumoniae,0.520045996156583,0.03348541420068151,0
pfba,MBS1232,Alistipes_shahii_WAL_8301,20035587.668935243,3949235.283094554,49,Alistipes shahii,4.88176622484832,0.3143336652489562,0
pfba,MBS1232,Bacteroides_xylanisolvens_XB1A,18526158.625060264,3949247.445432582,57,Bacteroides xylanisolvens,0.477949399160764,0.03077484244883259,0
pfba,MBS1232,Bacteroides_dorei_DSM_17855,18365355.659356,2031607.6727909008,48,Bacteroides dorei,0.133140368640123,0.00857281937308404,0
pfba,MBS1232,Faecalibacterium_prausnitzii_M21_2,12649757.823293455,1326341.4206622392,37,Faecalibacterium prausnitzii,2.44595010772939,0.1574930930664438,0
pfba,MBS1232,Ruminococcus_torques_ATCC_27756,8480492.093182828,1210658.5418356785,22,Ruminococcus torques,1.34898616011036,0.08686031746446025,0
pfba,MBS1255,Escherichia_coli_UTI89_UPEC,4200867.409495672,317377.16890933673,70,Escherichia coli,0.648357288854883,0.04448673567932088,0
pfba,MBS1255,Alistipes_shahii_WAL_8301,3241322.283469552,317377.1689093368,69,Alistipes shahii,3.04005131446432,0.2085917157143527,0
pfba,MBS1255,Parabacteroides_merdae_ATCC_43184,2702067.268944002,306130.6326235943,63,Parabacteroides merdae,6.57457500168121,0.451111424721141,0
pfba,MBS1255,Faecalibacterium_prausnitzii_M21_2,2355030.8085126774,224453.56180532151,43,Faecalibacterium prausnitzii,0.101679183574129,0.00697667018094379,0
pfba,MBS1255,Bacteroides_dorei_DSM_17855,2228977.94258425,317377.16890933673,53,Bacteroides dorei,0.9834801825406,0.06748103812298864,0
pfba,MBS1255,Ruminococcus_torques_ATCC_27756,1180363.9503338758,198335.3812622532,33,Ruminococcus torques,1.19949173515098,0.08230257095657502,0
pfba,MBS1255,Alistipes_onderdonkii_DSM_19147,1038051.3409114764,317377.16890933673,21,Alistipes onderdonkii,2.02653620005785,0.13904984462467793,0
pfba,MBS1262,Parabacteroides_merdae_ATCC_43184,2056825.0226817958,155199.3521054125,58,Parabacteroides merdae,14.3649720825141,0.7349701254776059,0
pfba,MBS1262,Bacteroides_xylanisolvens_XB1A,2034662.1711327168,155199.3521054125,78,Bacteroides xylanisolvens,2.07590047086285,0.10621147196006687,0
pfba,MBS1262,Bacteroides_dorei_DSM_17855,2003048.7068251295,520448.2247830293,58,Bacteroides dorei,0.887537106311573,0.04540999137658489,0
pfba,MBS1262,Klebsiella_pneumoniae_pneumoniae_MGH78578,1729974.2532148932,520448.2247830293,47,Klebsiella pneumoniae,0.183946759590759,0.00941146089258238,0
pfba,MBS1262,Faecalibacterium_prausnitzii_M21_2,1635654.9256439041,151550.01550046523,45,Faecalibacterium prausnitzii,1.11560785451061,0.05707901415357038,0
pfba,MBS1262,Escherichia_coli_UTI89_UPEC,1401630.7055857305,111092.1773730234,65,Escherichia coli,0.917009847681107,0.04691793613958956,0
pfba,MBS1529,Klebsiella_pneumoniae_pneumoniae_MGH78578,8902046.206978258,1203716.151862113,37,Klebsiella pneumoniae,1.51448209743325,0.07959887232842001,0
pfba,MBS1529,Escherichia_coli_UTI89_UPEC,8534699.38905656,1203716.2036213907,46,Escherichia coli,0.20226716191155,0.01063085395629045,0
pfba,MBS1529,Parabacteroides_merdae_ATCC_43184,8116771.826436867,1203666.1612086291,40,Parabacteroides merdae,10.8381022503985,0.5696341467317046,0
pfba,MBS1529,Alistipes_shahii_WAL_8301,6836146.232953408,1203716.131154179,46,Alistipes shahii,0.162469248450601,0.00853913624111606,0
pfba,MBS1529,Bacteroides_xylanisolvens_XB1A,6822025.014712783,849130.6044043655,45,Bacteroides xylanisolvens,0.225869902021231,0.01187137802704407,0
pfba,MBS1529,Bacteroides_dorei_DSM_17855,6681429.22184152,1203666.2036213907,37,Bacteroides dorei,2.56837590012083,0.1349899254085566,0
pfba,MBS1529,Faecalibacterium_prausnitzii_M21_2,6320290.470008622,1203666.1612086291,37,Faecalibacterium prausnitzii,1.13992305060241,0.05991261931910916,0
pfba,MBS1529,Ruminococcus_torques_ATCC_27756,3584689.7589373756,1203715.5569508348,15,Ruminococcus torques,0.153904883595669,0.00808900626875316,0
pfba,MBS1529,Alistipes_onderdonkii_DSM_19147,1991562.520207154,441932.8361839546,15,Alistipes onderdonkii,2.22103205061337,0.11673406171900592,0
