subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux
all516,EX_lys_L(e),lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,407,0.7887596899224806,-0.0140711186220874,0.0212105299001333,32.560152270615305,0.08044918261674588
all516,EX_lys_L(e),lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,285,0.5523255813953488,-0.0215248078339162,0.0293042876749982,24.01173777296304,0.05932787601813062
all516,EX_lys_L(e),lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,47,0.09108527131782944,-0.0053512704146065,0.0053512704146065,1.6456791894760967,0.00406612182100335
all516,LYSAM,lysine,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,78,0.1511627906976744,-0.0028753500700071,0.04006056239586315,1499927.5150522713,0.9309960987368604
all516,LYSAM,lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,56,0.10852713178294572,0.01308135636165075,0.0638059195274085,111103.76516949042,0.06896144706310502
all516,LYSAM,lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,62,0.12015503875968991,-0.00118366984992754,0.0593533355143161,26.603307269826896,1.6512514793652324e-5
all516,LYSAM,lysine,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,516,56,0.10852713178294572,0.10729581135676024,0.10729581135676024,23.243808172817833,1.4427293660205454e-5
all516,LYSAM,lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,60,0.11627906976744186,-0.0071669841448331,0.0387680874373114,18.55083257000153,1.151439158070931e-5
all516,LYSDC,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,71,0.1375968992248062,-2.166733209948263e-5,0.0532966077705924,25.58990245876327,0.467903829952536
all516,LYSDC,lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,65,0.12596899224806202,4.433185484429e-4,0.0340613176861826,14.32636779106578,0.2619534157877481
all516,LYSDC,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,73,0.1414728682170543,6.826931621482e-4,0.0295116680363792,13.724150938246265,0.25094205799338815
all516,LYSDC,lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,6,0.01162790697674418,-0.15890297387536662,0.15890297387536662,1.050096009356252,0.01920069626632764
all516,LYS_Ltex,lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,325,0.6298449612403101,0.0251049038036452,0.0467884968818372,1548.47246375954,0.5877848478035367
all516,LYS_Ltex,lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,244,0.4728682170542636,0.0116050058903256,0.01421830877259979,967.8406570064002,0.367382750801646
all516,LYS_Ltex,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,414,0.8023255813953488,0.0115675342829789,0.08464315577945825,62.17131773550098,0.02359961793843143
all516,LYS_Ltex,lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,282,0.5465116279069767,0.01606637943622595,0.03312808772561575,36.01380607008723,0.01367048495543638
all516,LYS_Ltex,lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,184,0.35658914728682173,0.01120527112389855,0.0206350330419542,19.443067908795157,0.00738039647399224
all516,LYS_Ltex,lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,41,0.07945736434108527,0.0037413085091775,0.0037413085091775,0.4792064322476978,1.8190202695714e-4
all516,LYSabc,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,111,0.21511627906976744,0.1644776284677998,0.1644776284677998,108.08383125953463,0.7751816656064764
all516,LYSabc,lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,400,0.7751937984496124,0.02133243872174975,0.02133243872174975,31.34649334053628,0.2248183343935236
all516,LYSt2r,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,370,0.7170542635658915,0.08993439502887016,0.15139884955226574,49508.73145778637,1
all516,LYSt2rpp,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,347,0.6724806201550387,0.0226467033072125,0.0837978702356401,42.60270013485308,0.5704368173712695
all516,LYSt2rpp,lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,228,0.4418604651162791,0.01452240424789445,0.0287562549649155,32.081644980138094,0.42956318262873056
all516,LYSt3pp,lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,45,0.0872093023255814,-7.873201864010138e-5,0.0152653884925097,11.341824622461244,1
all516,LYSt3rpp,lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,282,0.5465116279069767,-0.0242748666884191,0.03173282956842335,42.760401460436874,0.4528859531853224
all516,LYSt3rpp,lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,325,0.6298449612403101,-0.0461647233216161,0.0461647233216161,40.13587168888875,0.4250889113743243
all516,LYSt3rpp,lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,189,0.36627906976744184,-0.0088137051816341,0.0110622373061473,9.267023284491424,0.09814932811775798
all516,LYSt3rpp,lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,47,0.09108527131782944,-0.0056281712459514,0.0056281712459514,2.254296250801224,0.02387580732259524
optimal414,2OBUTt2rpp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,193,0.466183574879227,5.233284659303708,5.233284659303708,2135.6365827577324,1
optimal414,2OBUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,193,0.466183574879227,5.233284659303708,5.233284659303708,2135.6365827577324,1
optimal414,4ABUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,87,0.21014492753623187,0.012890024954236,0.2429511825996062,220.8166860021358,0.85501681668826
optimal414,4ABUTtex,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,29,0.07004830917874397,-0.3300578440197023,0.3300578440197023,20.86974639241687,0.08080903870354698
optimal414,4ABUTtex,butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,414,18,0.04347826086956521,-0.21039228438625857,0.21039228438625857,12.712537337839215,0.04922378559075378
optimal414,4ABUTtex,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,13,0.03140096618357488,-0.3223189298071817,0.3223189298071817,3.861080470393492,0.01495035901743911
optimal414,ABUTD,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,150,0.36231884057971014,3.2029497126883983,3.2029497126883983,1159.4058672819508,0.8601292385169989
optimal414,ABUTD,butyrate,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,19,0.04589371980676329,4.7260572762730755,4.7260572762730755,188.5379246079204,0.13987076148300123
optimal414,ABUTR,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,88,0.21256038647342995,7.1441726490721855,7.1441726490721855,835.0898413758831,0.7312066897825422
optimal414,ABUTR,butyrate,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,23,0.05555555555555555,10.4329881850121,10.4329881850121,306.9810026753869,0.26879331021745784
optimal414,ABUTt2pp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,6,0.0144927536231884,1.5822834807749309,1.5822834807749309,66.08710810432011,1
optimal414,ABUTt2rpp,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,29,0.07004830917874397,-0.3300578440197023,0.3300578440197023,20.86974639241687,0.8438758035947559
optimal414,ABUTt2rpp,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,13,0.03140096618357488,-0.3223189298071817,0.3223189298071817,3.861080470393492,0.1561241964052441
optimal414,BTCOAACCOAT,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,2.0706912454615747,2.0706912454615747,240.55749315042428,1
optimal414,BTCOADH,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,2.0706912454615747,2.0706912454615747,240.55749315042428,1
optimal414,BUTCTr,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,-7.715397575165007,7.715397575165007,176.90876041238403,1
optimal414,BUTt2pp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,7.715397575165008,7.715397575165008,176.90876041238403,1
optimal414,BUTt2r,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,-2.0706912454615747,2.0706912454615747,240.55749315042428,1
optimal414,BUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,7.715397575165008,7.715397575165008,176.90876041238403,1
optimal414,EX_2obut(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,193,0.466183574879227,-5.233284659303708,5.233284659303708,2135.6365827577324,1
optimal414,EX_4abut(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,87,0.21014492753623187,-0.012890024954236,0.2429511825996062,220.8166860021358,0.85501681668826
optimal414,EX_4abut(e),butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,29,0.07004830917874397,0.3300578440197023,0.3300578440197023,20.86974639241687,0.08080903870354698
optimal414,EX_4abut(e),butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,414,18,0.04347826086956521,0.21039228438625857,0.21039228438625857,12.712537337839215,0.04922378559075378
optimal414,EX_4abut(e),butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,13,0.03140096618357488,0.3223189298071817,0.3223189298071817,3.861080470393492,0.01495035901743911
optimal414,EX_but(e),butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,2.0706912454615747,2.0706912454615747,240.55749315042428,0.5762321890629948
optimal414,EX_but(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,-7.715397575165008,7.715397575165008,176.90876041238403,0.4237678109370053
optimal414,EX_isobut(e),butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,EX_isobut(e),butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,EX_isobut(e),butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,GLUABUTt7pp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,84,0.2028985507246377,-0.0086089471431415,0.24282590302101936,154.72957789781572,0.9240780175289364
optimal414,GLUABUTt7pp,butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,414,18,0.04347826086956521,0.21039228438625857,0.21039228438625857,12.712537337839215,0.07592198247106366
optimal414,ISOBUTt2rpp,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,-0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,ISOBUTt2rpp,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,-0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,ISOBUTt2rpp,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,-0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,ISOBUTtex,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,-0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,ISOBUTtex,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,-0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,ISOBUTtex,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,-0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,EX_lys_L(e),lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,325,0.785024154589372,-0.156309598222459,0.156309598222459,49.79999443417203,0.2940386037851586
optimal414,EX_lys_L(e),lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,347,0.8381642512077294,-0.0226467033072125,0.0837978702356401,42.60270013485308,0.2515429691802185
optimal414,EX_lys_L(e),lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,265,0.6400966183574879,-0.0436328025763904,0.0436328025763904,19.833577486263337,0.11710518240789008
optimal414,EX_lys_L(e),lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,184,0.4444444444444444,-0.01120527112389855,0.0206350330419542,19.443067908795157,0.11479946144891978
optimal414,EX_lys_L(e),lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,414,351,0.8478260869565217,-0.0191906024120412,0.0191906024120412,16.4085089365306,0.0968822409060972
optimal414,EX_lys_L(e),lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,224,0.5410628019323671,-0.02934638402856244,0.02934638402856244,11.531418950301932,0.06808599812778016
optimal414,EX_lys_L(e),lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,189,0.4565217391304347,-0.0088137051816341,0.0110622373061473,9.267023284491424,0.05471612233648468
optimal414,EX_lys_L(e),lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,414,41,0.09903381642512075,-0.0037413085091775,0.0037413085091775,0.4792064322476978,0.00282942180745091
optimal414,LYSDC,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,1,0.00241545893719806,0.0434215016900049,0.0434215016900049,0.0434215016900049,1
optimal414,LYS_Ltex,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,347,0.8381642512077294,0.0226467033072125,0.0837978702356401,42.60270013485308,0.41298896372953464
optimal414,LYS_Ltex,lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,265,0.6400966183574879,0.0436328025763904,0.0436328025763904,19.833577486263337,0.192265949979078
optimal414,LYS_Ltex,lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,184,0.4444444444444444,0.01120527112389855,0.0206350330419542,19.443067908795157,0.1884803649054901
optimal414,LYS_Ltex,lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,224,0.5410628019323671,0.02934638402856244,0.02934638402856244,11.531418950301932,0.11178513914709026
optimal414,LYS_Ltex,lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,189,0.4565217391304347,0.0088137051816341,0.0110622373061473,9.267023284491424,0.08983417320980047
optimal414,LYS_Ltex,lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,414,41,0.09903381642512075,0.0037413085091775,0.0037413085091775,0.4792064322476978,0.00464540902900652
optimal414,LYSabc,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,39,0.09420289855072464,0.1697906325177873,0.1697906325177873,24.925791553036024,0.6030292337795254
optimal414,LYSabc,lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,414,351,0.8478260869565217,0.0191906024120412,0.0191906024120412,16.4085089365306,0.39697076622047456
optimal414,LYSt2r,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,294,0.7101449275362319,0.13982286219226742,0.15139884955226574,59.075694430017144,1
optimal414,LYSt2rpp,lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,347,0.8381642512077294,0.0226467033072125,0.0837978702356401,42.60270013485308,0.6866334558850612
optimal414,LYSt2rpp,lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,184,0.4444444444444444,0.01120527112389855,0.0206350330419542,19.443067908795157,0.3133665441149388
optimal414,LYSt3rpp,lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,265,0.6400966183574879,-0.0436328025763904,0.0436328025763904,19.833577486263337,0.4824370212725746
optimal414,LYSt3rpp,lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,224,0.5410628019323671,-0.02934638402856244,0.02934638402856244,11.531418950301932,0.2804931895560861
optimal414,LYSt3rpp,lysine,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,189,0.4565217391304347,-0.0088137051816341,0.0110622373061473,9.267023284491424,0.22541344911325567
optimal414,LYSt3rpp,lysine,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,414,41,0.09903381642512075,-0.0037413085091775,0.0037413085091775,0.4792064322476978,0.01165634005808364
